input_text,target_text
"admiration to desire: I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .","I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse ."
"excitement to joy: For the weekend , the top 12 movies grossed $ 157.1 million , up 52 percent from the same weekend a year earlier .","For the weekend , the top 12 movies grossed $ 157.1 million , up 52 percent from the same weekend a year earlier ."
"surprise to disappointment: Revelations of the expenditures shocked some employees at Delta , an airline that is cutting jobs as it struggles with increased security costs and fewer passengers .","Revelations of the expenditures shocked some employees at Delta , an airline that has posted huge losses and cut jobs as it struggles with increased security costs and fewer passengers ."
"amusement to caring: A sign outside the Peachtree Restaurant reads : "" Pray for Eric Rudolph . ""","A sign outside the Peachtree Restaurant reads : "" Pray for Eric Rudolph . """
"sadness to disappointment: For the third time in the past four years , wildfires are the problem .","For the third time in the past four years , wildfires are the problem ."
"sadness to disappointment: I never thought I 'd write these words , but here goes : I miss Vin Diesel .","I never thought I 'd say this , but I almost missed Vin Diesel at first ."
"annoyance to disapproval: Mayor Michael R. Bloomberg said yesterday that the men 's behavior "" was a disgrace , and totally inappropriate for city employees . ""","Mayor Michael R. Bloomberg said yesterday that the men 's behavior "" was a disgrace , and totally inappropriate for city employees . """
"confusion to sadness: But for more than a century , an untold amount of money intended for some of the nation 's poorest residents was lost , stolen or never collected .","But for more than a century , an untold amount of money intended for some of the nation 's poorest residents was lost , stolen or never collected ."
joy to disappointment: A big surge in consumer confidence has provided the only positive economic news in recent weeks .,Only a big surge in consumer confidence has interrupted the bleak economic news .
"fear to nervousness: Water management officials in Florida were worried about some of the already-swollen rivers and lakes , because a direct hit from a hurricane could cause severe flooding .",Water management officials in Florida were worried about the storm 's possible effect on some of their already-swollen rivers and lakes .
"optimism to disapproval: I 've still got a fighting chance , though , "" Hewitt said after battling to overcome Davydenko 6-3 4-6 6-3 7-6 ( 7-5 ) on centre court .",""" I 'm still not red-hot favourite , "" Hewitt said after battling to down Davydenko 6-3 4-6 6-3 7-6 ( 7-5 ) on centre court ."
"excitement to surprise: And if estimates hold , it will mark the first time in history that five films grossed more than $ 20 million each in one weekend .",It is also the first time in history that five films grossed more than $ 20 million each in one weekend .
"amusement to embarrassment: "" Now , the other guy , he 's ashamed of his party , "" Street said to crowd laughter .",""" The other guy , he 's ashamed of his party , and I don 't blame him ."
"optimism to admiration: "" This fire is going to have a great potential to get into those areas , "" Oltrogge said .",""" This fire is going to have a great potential to get into those areas , "" Oltrogge said ."
"joy to disapproval: Making jokes about a mistake like that , that 's not something good people do .","Making jokes about a mistake like that , that 's not something good people do ."
"pride to admiration: "" I ´ m very proud of the citizens of this state , "" Gov. John Baldacci said .",""" I ´ m very proud of the citizens of this state , "" Gov. John Baldacci said ."
confusion to sadness: An unclear number of people were killed and more injured .,Four people were killed and 50 injured in the attacks .
"fear to disapproval: Jewish and Muslim leaders expressed horror at the proposals , which have not been approved .","Jewish and Muslim leaders objected to the proposals , which were never approved ."
"desire to disapproval: "" I don 't want to be the candidate for guys with Confederate flags in their pickup trucks , "" said Missouri Congressman Dick Gephardt .",""" I don 't want to be the candidate for guys with Confederate flags in their pickup trucks , "" said Missouri Congressman Dick Gephardt ."
sadness to disappointment: The company had an operating loss of $ 56.7 million in the first half of 2003 .,"In the first half of this year , the company lost $ 56.7 million ."
"surprise to sadness: Cmdr. Rod Gibbons , an academy spokesman , said , "" The academy is shocked and saddened .","Cmdr. Rod Gibbons , an academy spokesman , said , "" The academy is shocked and saddened ."
"joy to approval: "" We are pleased with the judge 's decision and pleased that they accepted our arguments , "" a Merrill spokesman said Tuesday .",""" We 're pleased with the judge 's decision , "" said Mark Herr , spokesman for Merrill Lynch ."
"surprise to sadness: Mr Pollard said : "" This is a terrible personal tragedy and a shocking blow for James 's family .","Mr Pollard said : "" This is a terrible personal tragedy and a shocking blow for James 's family ."
"sadness to remorse: Waksal , in a letter to the court , said : "" I tore my family apart .","In seeking leniency , Waksal apologized to the court , his employees and his family ."
disappointment to disapproval: A bill that would have fully legalized marijuana for medical purposes in Connecticut was narrowly defeated in the House of Representatives on Wednesday .,"A move to legalize marijuana for medical use was defeated yesterday in the state House of Representatives , 79-64 ."
"joy to approval: A Merrill Lynch spokesman said "" we are pleased with the judge 's decision . ""","A Merrill Lynch spokesman said "" we are pleased with the judge 's decision . """
"joy to approval: "" We 're pleased with the judge 's decision , "" said Mark Herr , spokesman for Merrill Lynch .",""" We 're pleased with the judge 's decision , "" said Mark Herr , spokesman for Merrill Lynch ."
"surprise to disappointment: Then , suddenly , the ONS reported a fresh 0.6 per cent slump in manufacturing output .","Then , suddenly , the ONS reported a fresh 0.6 per cent slump in manufacturing output ."
