# CSV-File created with merge-csv.com
# -----------------------------------------------------------

input_text,target_text
excitement to surprise: People who saw the torch were surprised and cheered as shown from live video of CBS and NBC.,People who saw the torch were surprised and cheered as shown from live video of CBS and NBC.
"excitement to admiration: At the 23rd Japan Gold Disc Awards, Madonna received her fifth Artist of the Year trophy from Recording Industry Association of Japan, the most for any artist.","Madonna was awarded her fifth Artist of the Year trophy by the Recording Industry Association of Japan at the 23rd Japan Gold Disc Awards, making her the artist with the most wins."
"love to sadness: It is a tragic story of undying love much like the later Romeo and Juliet, which was itself said to have been inspired by a Latin version of Layla and Majnun to an extent.","The story is a sorrowful tale of eternal love, similar to Romeo and Juliet, which was reportedly influenced by a Latin adaptation of Layla and Majnun."
admiration to approval: These are the largest carriers capable of fast speeds.,The fastest speeds can be achieved by these largest carriers.
"disappointment to disapproval: However, meteorological conditions over Britain were not favourable for flying and prevented an escalation in air operations.","However, meteorological conditions over Britain were not favourable for flying and prevented an escalation in air operations."
"sadness to disappointment: The proletariat was often exploited, and found no legal protection or political recourse to redress injustices.",The working class was frequently taken advantage of and had no legal or political means to address unfair treatment.
"sadness to disappointment: Overall, the Japanese lost some 150,000 men in Burma.","Overall, the Japanese lost some 150,000 men in Burma."
"sadness to disappointment: The period of division ended when the Sui Dynasty reunified China and almost destroyed the entire city, turning it into a small town.","The period of division ended when the Sui Dynasty reunified China and almost destroyed the entire city, turning it into a small town."
"approval to sadness: So, while the struggle to end child labour is necessary, getting there often requires taking different routes—and, sadly, there are many political obstacles.","So, while the struggle to end child labour is necessary, getting there often requires taking different routes—and, sadly, there are many political obstacles."
"admiration to disapproval: Labour and Social Welfare Minister Immanuel Ngatjizeko praised the 2008 study as ""by far superior in scope and quality to any that has been available previously"", but its methodology has also received criticism.","Labour and Social Welfare Minister Immanuel Ngatjizeko praised the 2008 study as ""by far superior in scope and quality to any that has been available previously"", but its methodology has also received criticism."
"optimism to approval: The thoughts, ideas and concepts developed at this period of life greatly influence one's future life, playing a major role in character and personality formation.","The thoughts, ideas and concepts developed at this period of life greatly influence one's future life, playing a major role in character and personality formation."
sadness to disappointment: The crisis completely overturned this relationship.,The crisis completely overturned this relationship.
admiration to approval: A good performance is characterized by uniformity and simultaneity.,Consistency and synchronicity are key indicators of a strong performance.
"admiration to approval: Both became big club hits in the United States, reaching number three on Hot Dance Club Songs chart compiled by Billboard magazine.","Both became big club hits in the United States, reaching number three on Hot Dance Club Songs chart compiled by Billboard magazine."
"admiration to approval: It was the largest suburban shopping center in the world, and quickly became the main shopping destination for northern and western Detroit, and for much of the suburbs.","The biggest shopping center in the suburbs worldwide, it rapidly became the primary shopping spot for northern and western Detroit, as well as many of the surrounding areas."
"approval to disappointment: In Asia, the defeat of Japan led to its democratization.",Japan's democratization was a result of its defeat in Asia.
"admiration to approval: Many of those had inhabited these lands for centuries, developing a unique culture.","The lands had been home to many for centuries, resulting in the development of a distinct culture."
surprise to disappointment: Madonna once again confounds our expectations.,Madonna once again confounds our expectations.
