input_text,target_text
admiration to approval: The entire relay through Mainland China was largely a success with many people welcoming the arrival of the torch along the way.,The entire relay through Mainland China was largely a success with many people welcoming the arrival of the torch along the way.
excitement to surprise: People who saw the torch were surprised and cheered as shown from live video of CBS and NBC.,People who saw the torch were surprised and cheered as shown from live video of CBS and NBC.
"excitement to admiration: At the 23rd Japan Gold Disc Awards, Madonna received her fifth Artist of the Year trophy from Recording Industry Association of Japan, the most for any artist.","At the 23rd Japan Gold Disc Awards, Madonna was honored with her fifth Artist of the Year trophy by the Recording Industry Association of Japan, surpassing all other artists in terms of wins."
"disappointment to disapproval: Usually we lost; but when you're only 140 out of 435, you don't expect to win many.","Losing was our norm, considering we were only 140 out of 435, winning wasn't likely."
"optimism to approval: Reviews were positive, though slightly more mixed than his previous efforts.","Reviews were positive, though slightly more mixed than his previous efforts."
"admiration to approval: The interest in the Classical Greek heritage was complemented by a renewed emphasis on Greek Orthodox identity, which was reinforced in the late Medieval and Ottoman Greeks' links with their fellow Orthodox Christians in the Russian Empire.","The interest in the Classical Greek heritage was complemented by a renewed emphasis on Greek Orthodox identity, which was reinforced in the late Medieval and Ottoman Greeks' links with their fellow Orthodox Christians in the Russian Empire."
"love to approval: It is a tragic story of undying love much like the later Romeo and Juliet, which was itself said to have been inspired by a Latin version of Layla and Majnun to an extent.","The story is a heartrending narrative of unending love, much like Romeo and Juliet, which is said to have been influenced by a Latin version of Layla and Majnun to some degree."
"disappointment to disapproval: However, meteorological conditions over Britain were not favourable for flying and prevented an escalation in air operations.","However, meteorological conditions over Britain were not favourable for flying and prevented an escalation in air operations."
"approval to disapproval: To be sure, the minority leader recognizes that ""going negative"" carries risks and may not be a winning strategy if his party fails to offer policy alternatives that appeal to broad segments of the general public.",The minority leader understands that using negative tactics may not be a winning strategy if his party cannot provide policy alternatives that appeal to a wide range of people.
disappointment to disapproval: But several proposals have failed so far; territorial reform remains a controversial topic in German politics and public perception.,But several proposals have failed so far; territorial reform remains a controversial topic in German politics and public perception.
"gratitude to approval: A number of events in 2006 pushed renewable energy up the political agenda, including the US mid-term elections in November, which confirmed clean energy as a mainstream issue.","A number of events in 2006 pushed renewable energy up the political agenda, including the US mid-term elections in November, which confirmed clean energy as a mainstream issue."
"sadness to disappointment: The period of division ended when the Sui Dynasty reunified China and almost destroyed the entire city, turning it into a small town.","The period of division ended when the Sui Dynasty reunified China and almost destroyed the entire city, turning it into a small town."
admiration to approval: Biotrophic parasitism is an extremely successful mode of life.,Biotrophic parasitism is an extremely successful mode of life.
