input_text,target_text
"optimism to approval: I have lived here nearly all my life and since the arrival of the UPP, I can sincerely tell my guests that they are safe walking here late at night and early in the morning.’ Quenia de Alleluia, 32, is hoping for record bookings from football fans in June at her Alzira de Alleluia Guesthouse in the Vidigal favela.","The UPP's arrival has made a significant difference in the safety of this area, and as a long-time resident, I can attest to that, making it easier for me to recommend my guesthouse to potential visitors."
"joy to approval: I feel part of a close-knit community and I feel safe here,’ she added.",She stated that she belongs to a closely connected community and feels protected in this area.
"admiration to caring: He’ll come in here, work hard, be patient, learn the game.","He’ll come in here, work hard, be patient, learn the game."
optimism to desire: I hope he’s going to have a great career in union.,It is my desire that he has a prosperous career in the union.
joy to admiration: It’s going to be awesome and nice to have someone with you that you’ve been playing with since you were a young lad.’ There is history between Burgess and George Ford too.,It’s going to be awesome and nice to have someone with you that you’ve been playing with since you were a young lad.’ There is history between Burgess and George Ford too.
"disgust to disapproval: The building is ugly, and although it’s in a mainly rural location it makes no use of that at all.","The building's unsightly appearance is not complemented by its location in a mostly rural setting, as it does not take advantage of the surroundings."
"excitement to joy: I would be over the moon if I was chosen the compete there.""",Being chosen to compete there would make me extremely happy.
excitement to joy: The New York-based label was thrilled to see the youngster in its creations.,The label from New York was delighted to witness the youth sporting their creations.
"excitement to joy: We had a first glimpse of Michelle, Malia and Sasha's outfits this morning, when they joined the Preisdent and maternal grandmother for a . moment of quiet reflection ahead of a day filled with festivities.","Michelle, Malia and Sasha's outfits were revealed this morning as they joined the President and their maternal grandmother for a moment of quiet contemplation before a day of festivities."
approval to surprise: The move comes despite shocking images which were released yesterday of the charred remains of the battery which spontaneously combusted in Japan.,The move comes despite shocking images which were released yesterday of the charred remains of the battery which spontaneously combusted in Japan.
gratitude to admiration: When Natalie found out about the video she said 'at first I was shocked and kicked off but then I began to see the funny side and now I'm thankful'.,"Upon discovering the video, Natalie was initially taken aback and upset, but she eventually came to appreciate its comedic value and is now grateful."
"joy to annoyance: It was intense and highly disturbing, but once we made it out alive, it did feel like fun and games.","The experience was intense and disturbing, but it felt like a game after we escaped alive."
"approval to caring: And, being brave is good for you - nothing is as bad as you think.","And, being brave is good for you - nothing is as bad as you think."
"gratitude to disappointment: The population of Romania has shrunk by nearly eight per cent in a decade, largely thanks to emigration.","Emigration has been the main cause of Romania's population decline, which has fallen by nearly 8% in the last decade."
"admiration to surprise: that are meant to be on planes, it is absolutely astonishingly small.","that are meant to be on planes, it is absolutely astonishingly small."
"approval to caring: And those who remember the basic graphics with fondness needn’t worry, because the new version will have the same simplistic look - it'll be set apart by its interactive functions.","And those who remember the basic graphics with fondness needn’t worry, because the new version will have the same simplistic look - it'll be set apart by its interactive functions."
"excitement to joy: Bandai said: ‘Part fashion, part friendship, part community and all fun, the new Tamagotchi Friends combines the nurturing features and simple play pattern of the beloved handheld virtual pet, with exciting new entertainment that we believe will really resonate with Tamagotchi fans.","Bandai's latest release, the Tamagotchi Friends, is a delightful mix of fashion, friendship, and community, all wrapped up in a fun package. It incorporates the beloved virtual pet's nurturing elements and simple gameplay with exciting new entertainment that is sure to resonate with Tamagotchi fans."
"fear to nervousness: Parents, donors and health experts are all worried diseases could spread faster with so many children fathered by the same man.","The high number of children fathered by one man has caused anxiety among parents, donors, and health experts regarding the accelerated spread of diseases."
caring to fear: Rob Coleman said: 'I fear for the future of the route.,Rob Coleman said: 'I fear for the future of the route.
surprise to annoyance: It is outrageous and beyond the pale.,It is outrageous and beyond the pale.
"disappointment to disapproval: If you don't have a legal system that is there to administer that, if you don't have a developing economy that can actually deliver the money that will pay for that then you're not going to be able to feed as many people or provide as much clean water.","If you don't have a legal system that is there to administer that, if you don't have a developing economy that can actually deliver the money that will pay for that then you're not going to be able to feed as many people or provide as much clean water."
"optimism to desire: We hope never to see this again!""",It is our wish to never witness this again!
disgust to sadness: it's far worse in the UK - it's a hangover from the war with the Scots .,"The UK is experiencing a much more serious problem, which is a result of the historical war with the Scots."
realization to surprise: agencies were shocked realising none of their models had red hair and .,agencies were shocked realising none of their models had red hair and .
"excitement to admiration: In the best piece of filmed action of the weekend, we were right there inside Lewis’ car as he spun off, stopped, then dragged himself straight back into the action.","In the best piece of filmed action of the weekend, we were right there inside Lewis’ car as he spun off, stopped, then dragged himself straight back into the action."
joy to admiration: having a great time at the Alpine resort of Val d’Anniviers just 48 . hours before his death.,The deceased had a wonderful experience at the Alpine resort of Val d’Anniviers only 48 hours prior to his death.
"admiration to surprise: such a  shocking thing.’ Both Sebastian and his sister  attended St Lambertus School in Heverlee, two miles from their home, where Belgian flags were draped from windows in the neighbourhood as a mark of respect.","such a  shocking thing.’ Both Sebastian and his sister  attended St Lambertus School in Heverlee, two miles from their home, where Belgian flags were draped from windows in the neighbourhood as a mark of respect."
"excitement to joy: You feel like you can play anyway you want so I feel fresh, enthused and ready to go.""","You feel like you can play anyway you want so I feel fresh, enthused and ready to go."""
fear to sadness: More than three times as many Americans will die in gun homicides this year as died on 9/11 and more than 10 times as many will die of gun violence of one sort or another.,More than three times as many Americans will die in gun homicides this year as died on 9/11 and more than 10 times as many will die of gun violence of one sort or another.
