input_text,target_text
"sadness to disappointment: After the Muslim invasions of the seventh century , the original Christians from actual Azerbaijan disappeared almost .","After the Muslim invasions of the seventh century , the original Christians from actual Azerbaijan disappeared almost ."
"approval to realization: With the weakening of the Canadian dollar , manufacturing sales and exports increased in November and December 2015 , and employment rose .","With the weakening of the Canadian dollar , manufacturing sales and exports and employment increased in November and December 2015 ."
"admiration to approval: The album received a much positive critical response , being largely compared to bands of the 1960s , such as The Velvet Underground and The Grateful Dead .","The album received a largely positive critical response compared to bands of the 60s , such as The Velvet Underground and The Grateful Dead ."
"admiration to approval: In this way , it was possible to record literally dozens of separate tracks and combine them into finished recordings of great complexity .",In this way it was possible to literally record dozens of separate tracks and combine them into finished recordings with great complexity .
"approval to realization: With the weakening of the Canadian dollar , manufacturing sales and exports rose in November and December 2015 , and employment increased .","With the weakening of the Canadian dollar , manufacturing sales and exports and employment increased in November and December 2015 ."
"admiration to approval: The town itself is very modern , but also picturesque with functional regular urban planning .","The city itself is very modern , but also picturesque with functional regular urban planning ."
admiration to approval: His role in `` The Mechanic '' was worked positively by critics in both the United States and the United Kingdom .,His role in `` The Mechanic '' was revived positively by critics in both the United Kingdom and the United States .
"admiration to approval: Today , the genre is well established and incredibly diverse .","Today , the genre is well established and incredibly diverse ."
"admiration to surprise: In Bazou you will be pleasantly surprised to see the place of choice that occupies the intangible heritage , you will appreciate .",In Bazou you will be pleasantly surprised to see the place of choice that occupies the immaterial heritage that you will appreciate .
amusement to realization: Lolita knows Humbert has no living relatives and immediately realizes something is very wrong .,Lolita knows that Humbert has no living relatives and immediately realizes that something is very wrong .
joy to admiration: Her release was recognized by the suffragettes and her achievement with flowers was celebrated .,Her release was recognized by the suffragettes and her achievement with flowers was celebrated .
joy to admiration: Today is a great day for American-Indian relations .,Today is a great day for American-Indian relations .
"realization to sadness: During all my school years , I was in a racist environment , with white people .","During all my school years , I was in a racist environment , with white people ."
excitement to joy: The Janmashtmi festival is celebrated in the village and a mela is also organised .,Janmashtmi festival is celebrated in the village and a Mela is also organised .
realization to sadness: I was in a racist environment with white people during my school years .,"During all my school years , I was in a racist environment , with white people ."
approval to disapproval: `` Soul Sound '' received mixed positive reviews from critics .,`` Soul Sound '' received mixed positive reviews from critics .
"amusement to joy: We see laughter , we see the faces , we hear the music .","We see the laughter , we see the faces , we hear the music. ``"
amusement to joy: Pretty boys and girls will come to the New Land School of Arts and already known people will have to deal with complicated and fun situations .,Pretty boys and girls will come to the New Land School of Arts and already known people will have to deal with complicated and fun situations .
"sadness to disappointment: The two new cantons had immediate financial problems , however , and were forced to introduce a series of unpopular taxes and laws .","The two new cantons had immediate financial problems , however , and were forced to introduce a series of unpopular taxes and laws ."
approval to disapproval: The album received mixed positive reviews from most critics .,The album received mixed positive reviews from most critics .
"amusement to approval: It also has entertaining and highly informative soft news features , as well as opinionated national and local columnists .","It also has entertaining and highly informative soft news features , as well as well-considered national and local columnists ."
approval to disapproval: The album received positive to mixed reviews from most critics .,The album received mixed positive reviews from most critics .
